,Chromosome,Start,End,Threshold,Sequence_id
109,chr1,7428,7446,300,AY394995.1
110,chr1,12329,12345,300,AY394995.1
111,chr1,13070,13086,300,AY394995.1
112,chr1,13889,13909,300,AY394995.1
113,chr1,15321,15341,300,AY394995.1
114,chr1,17148,17176,300,AY394995.1
115,chr1,18196,18216,300,AY394995.1
116,chr1,26212,26232,300,AY394995.1
117,chr1,88,106,50,DQ084199.1
118,chr1,216,232,50,DQ084199.1
119,chr1,274,290,50,DQ084199.1
120,chr1,317,333,50,DQ084199.1
121,chr1,363,380,50,DQ084199.1
122,chr1,564,584,50,DQ084199.1
123,chr1,853,886,50,DQ084199.1
124,chr1,1130,1150,50,DQ084199.1
125,chr1,1232,1249,50,DQ084199.1
126,chr1,1610,1622,50,DQ084199.1
127,chr1,2691,2707,50,DQ084199.1
128,chr1,2784,2800,50,DQ084199.1
129,chr1,2852,2872,50,DQ084199.1
130,chr1,2992,3012,50,DQ084199.1
131,chr1,3663,3683,50,DQ084199.1
132,chr1,4530,4560,50,DQ084199.1
133,chr1,4887,4907,50,DQ084199.1
134,chr1,5224,5245,50,DQ084199.1
135,chr1,5257,5276,50,DQ084199.1
136,chr1,5513,5532,50,DQ084199.1
137,chr1,6006,6024,50,DQ084199.1
138,chr1,7400,7420,50,DQ084199.1
139,chr1,7653,7665,50,DQ084199.1
140,chr1,9133,9153,50,DQ084199.1
141,chr1,9352,9374,50,DQ084199.1
142,chr1,10449,10471,50,DQ084199.1
143,chr1,10732,10744,50,DQ084199.1
144,chr1,11268,11289,50,DQ084199.1
145,chr1,11917,11929,50,DQ084199.1
146,chr1,12302,12322,50,DQ084199.1
147,chr1,12418,12436,50,DQ084199.1
148,chr1,13047,13069,50,DQ084199.1
149,chr1,13330,13351,50,DQ084199.1
150,chr1,13393,13412,50,DQ084199.1
151,chr1,13842,13885,50,DQ084199.1
152,chr1,14441,14457,50,DQ084199.1
153,chr1,15298,15320,50,DQ084199.1
154,chr1,15480,15498,50,DQ084199.1
155,chr1,15805,15822,50,DQ084199.1
156,chr1,15842,15856,50,DQ084199.1
157,chr1,16098,16120,50,DQ084199.1
158,chr1,16407,16427,50,DQ084199.1
159,chr1,17125,17153,50,DQ084199.1
160,chr1,17342,17363,50,DQ084199.1
161,chr1,17620,17642,50,DQ084199.1
162,chr1,17992,18010,50,DQ084199.1
163,chr1,18171,18193,50,DQ084199.1
164,chr1,18485,18499,50,DQ084199.1
165,chr1,18561,18579,50,DQ084199.1
166,chr1,18789,18807,50,DQ084199.1
167,chr1,18844,18864,50,DQ084199.1
168,chr1,19786,19804,50,DQ084199.1
169,chr1,19978,19992,50,DQ084199.1
170,chr1,21211,21232,50,DQ084199.1
171,chr1,21839,21859,50,DQ084199.1
172,chr1,22601,22621,50,DQ084199.1
173,chr1,22835,22847,50,DQ084199.1
174,chr1,23271,23283,50,DQ084199.1
175,chr1,23472,23488,50,DQ084199.1
176,chr1,23973,23990,50,DQ084199.1
177,chr1,24023,24038,50,DQ084199.1
178,chr1,24553,24567,50,DQ084199.1
179,chr1,25089,25109,50,DQ084199.1
180,chr1,25222,25244,50,DQ084199.1
181,chr1,25997,26015,50,DQ084199.1
182,chr1,26148,26171,50,DQ084199.1
183,chr1,26623,26644,50,DQ084199.1
184,chr1,26869,26885,50,DQ084199.1
185,chr1,28183,28195,50,DQ084199.1
186,chr1,28516,28534,50,DQ084199.1
187,chr1,28732,28744,50,DQ084199.1
188,chr1,29550,29568,50,DQ084199.1
189,chr1,89,105,150,DQ084199.1
190,chr1,566,582,150,DQ084199.1
191,chr1,853,875,150,DQ084199.1
192,chr1,1236,1248,150,DQ084199.1
193,chr1,2998,3012,150,DQ084199.1
194,chr1,4531,4556,150,DQ084199.1
195,chr1,4891,4907,150,DQ084199.1
196,chr1,5224,5243,150,DQ084199.1
197,chr1,5514,5532,150,DQ084199.1
198,chr1,10449,10469,150,DQ084199.1
199,chr1,11273,11289,150,DQ084199.1
200,chr1,13051,13063,150,DQ084199.1
201,chr1,13394,13410,150,DQ084199.1
202,chr1,13844,13864,150,DQ084199.1
203,chr1,13866,13884,150,DQ084199.1
204,chr1,15304,15318,150,DQ084199.1
205,chr1,16409,16427,150,DQ084199.1
206,chr1,17125,17152,150,DQ084199.1
207,chr1,18173,18189,150,DQ084199.1
208,chr1,21840,21859,150,DQ084199.1
209,chr1,25222,25242,150,DQ084199.1
210,chr1,26151,26171,150,DQ084199.1
211,chr1,26626,26640,150,DQ084199.1
212,chr1,26873,26885,150,DQ084199.1
213,chr1,92,104,300,DQ084199.1
214,chr1,570,582,300,DQ084199.1
215,chr1,853,871,300,DQ084199.1
216,chr1,4533,4556,300,DQ084199.1
217,chr1,5225,5243,300,DQ084199.1
218,chr1,10453,10469,300,DQ084199.1
219,chr1,13844,13861,300,DQ084199.1
220,chr1,13866,13884,300,DQ084199.1
221,chr1,16411,16427,300,DQ084199.1
222,chr1,17126,17152,300,DQ084199.1
223,chr1,25226,25242,300,DQ084199.1
224,chr1,26151,26171,300,DQ084199.1
225,chr1,88,106,50,DQ084200.1
226,chr1,216,232,50,DQ084200.1
227,chr1,274,290,50,DQ084200.1
228,chr1,317,333,50,DQ084200.1
229,chr1,363,380,50,DQ084200.1
230,chr1,564,584,50,DQ084200.1
231,chr1,853,886,50,DQ084200.1
232,chr1,1130,1150,50,DQ084200.1
233,chr1,1232,1249,50,DQ084200.1
234,chr1,1610,1622,50,DQ084200.1
235,chr1,2691,2707,50,DQ084200.1
236,chr1,2777,2800,50,DQ084200.1
237,chr1,2852,2872,50,DQ084200.1
238,chr1,2992,3012,50,DQ084200.1
239,chr1,3663,3683,50,DQ084200.1
240,chr1,4530,4560,50,DQ084200.1
241,chr1,4887,4907,50,DQ084200.1
242,chr1,5224,5245,50,DQ084200.1
243,chr1,5257,5276,50,DQ084200.1
244,chr1,5513,5532,50,DQ084200.1
245,chr1,6006,6024,50,DQ084200.1
246,chr1,7400,7420,50,DQ084200.1
247,chr1,7653,7665,50,DQ084200.1
248,chr1,9133,9153,50,DQ084200.1
249,chr1,9352,9374,50,DQ084200.1
250,chr1,10449,10471,50,DQ084200.1
251,chr1,10732,10744,50,DQ084200.1
252,chr1,11268,11289,50,DQ084200.1
253,chr1,11917,11929,50,DQ084200.1
254,chr1,12302,12322,50,DQ084200.1
255,chr1,12418,12436,50,DQ084200.1
256,chr1,13047,13069,50,DQ084200.1
257,chr1,13330,13351,50,DQ084200.1
258,chr1,13393,13412,50,DQ084200.1
259,chr1,13842,13885,50,DQ084200.1
260,chr1,14441,14457,50,DQ084200.1
261,chr1,15298,15320,50,DQ084200.1
262,chr1,15480,15498,50,DQ084200.1
263,chr1,15805,15822,50,DQ084200.1
264,chr1,15842,15856,50,DQ084200.1
265,chr1,16098,16120,50,DQ084200.1
266,chr1,16407,16427,50,DQ084200.1
267,chr1,17125,17153,50,DQ084200.1
268,chr1,17342,17363,50,DQ084200.1
269,chr1,17620,17642,50,DQ084200.1
270,chr1,17992,18010,50,DQ084200.1
271,chr1,18171,18193,50,DQ084200.1
272,chr1,18485,18499,50,DQ084200.1
273,chr1,18561,18579,50,DQ084200.1
274,chr1,18789,18807,50,DQ084200.1
275,chr1,18844,18864,50,DQ084200.1
276,chr1,19786,19804,50,DQ084200.1
277,chr1,19978,19992,50,DQ084200.1
278,chr1,21211,21232,50,DQ084200.1
279,chr1,21839,21859,50,DQ084200.1
280,chr1,22601,22621,50,DQ084200.1
281,chr1,22835,22847,50,DQ084200.1
282,chr1,23271,23283,50,DQ084200.1
283,chr1,23472,23488,50,DQ084200.1
284,chr1,23973,23990,50,DQ084200.1
285,chr1,24023,24038,50,DQ084200.1
286,chr1,24553,24567,50,DQ084200.1
287,chr1,25089,25109,50,DQ084200.1
288,chr1,25222,25244,50,DQ084200.1
289,chr1,25997,26015,50,DQ084200.1
290,chr1,26148,26171,50,DQ084200.1
291,chr1,26623,26644,50,DQ084200.1
292,chr1,26869,26885,50,DQ084200.1
293,chr1,28516,28534,50,DQ084200.1
294,chr1,28732,28744,50,DQ084200.1
295,chr1,29550,29568,50,DQ084200.1
296,chr1,89,105,150,DQ084200.1
297,chr1,566,582,150,DQ084200.1
298,chr1,853,875,150,DQ084200.1
299,chr1,1236,1248,150,DQ084200.1
300,chr1,2779,2798,150,DQ084200.1
301,chr1,2998,3012,150,DQ084200.1
302,chr1,4531,4556,150,DQ084200.1
303,chr1,4891,4907,150,DQ084200.1
304,chr1,5224,5243,150,DQ084200.1
305,chr1,5514,5532,150,DQ084200.1
306,chr1,10449,10469,150,DQ084200.1
307,chr1,11273,11289,150,DQ084200.1
308,chr1,13051,13063,150,DQ084200.1
309,chr1,13394,13410,150,DQ084200.1
310,chr1,13844,13864,150,DQ084200.1
311,chr1,13866,13884,150,DQ084200.1
312,chr1,15304,15318,150,DQ084200.1
313,chr1,16409,16427,150,DQ084200.1
314,chr1,17125,17152,150,DQ084200.1
315,chr1,18173,18189,150,DQ084200.1
316,chr1,21840,21859,150,DQ084200.1
317,chr1,25222,25242,150,DQ084200.1
318,chr1,26151,26171,150,DQ084200.1
319,chr1,26626,26640,150,DQ084200.1
320,chr1,26873,26885,150,DQ084200.1
321,chr1,92,104,300,DQ084200.1
322,chr1,570,582,300,DQ084200.1
323,chr1,853,871,300,DQ084200.1
324,chr1,2779,2797,300,DQ084200.1
325,chr1,4533,4556,300,DQ084200.1
326,chr1,5225,5243,300,DQ084200.1
327,chr1,10453,10469,300,DQ084200.1
328,chr1,13844,13861,300,DQ084200.1
329,chr1,13866,13884,300,DQ084200.1
330,chr1,16411,16427,300,DQ084200.1
331,chr1,17126,17152,300,DQ084200.1
332,chr1,25226,25242,300,DQ084200.1
333,chr1,26151,26171,300,DQ084200.1
334,chr1,107,125,50,DQ071615.1
335,chr1,236,252,50,DQ071615.1
336,chr1,294,310,50,DQ071615.1
337,chr1,383,400,50,DQ071615.1
338,chr1,584,604,50,DQ071615.1
339,chr1,801,817,50,DQ071615.1
340,chr1,873,906,50,DQ071615.1
341,chr1,1256,1268,50,DQ071615.1
342,chr1,1328,1346,50,DQ071615.1
343,chr1,1515,1533,50,DQ071615.1
344,chr1,1902,1923,50,DQ071615.1
345,chr1,2415,2434,50,DQ071615.1
346,chr1,2711,2723,50,DQ071615.1
347,chr1,3014,3032,50,DQ071615.1
348,chr1,3313,3327,50,DQ071615.1
349,chr1,3406,3418,50,DQ071615.1
350,chr1,3676,3712,50,DQ071615.1
351,chr1,4563,4588,50,DQ071615.1
352,chr1,5542,5558,50,DQ071615.1
353,chr1,7431,7452,50,DQ071615.1
354,chr1,7685,7697,50,DQ071615.1
355,chr1,8089,8101,50,DQ071615.1
356,chr1,8249,8269,50,DQ071615.1
357,chr1,9148,9160,50,DQ071615.1
358,chr1,9297,9309,50,DQ071615.1
359,chr1,10481,10503,50,DQ071615.1
360,chr1,10764,10776,50,DQ071615.1
361,chr1,11050,11064,50,DQ071615.1
362,chr1,11076,11098,50,DQ071615.1
363,chr1,11464,11478,50,DQ071615.1
364,chr1,11786,11800,50,DQ071615.1
365,chr1,12334,12356,50,DQ071615.1
366,chr1,12456,12473,50,DQ071615.1
367,chr1,12639,12659,50,DQ071615.1
368,chr1,13077,13099,50,DQ071615.1
369,chr1,13362,13383,50,DQ071615.1
370,chr1,13425,13442,50,DQ071615.1
371,chr1,13875,13893,50,DQ071615.1
372,chr1,13896,13917,50,DQ071615.1
373,chr1,14495,14513,50,DQ071615.1
374,chr1,15330,15354,50,DQ071615.1
375,chr1,15837,15854,50,DQ071615.1
376,chr1,16130,16152,50,DQ071615.1
377,chr1,16441,16458,50,DQ071615.1
378,chr1,16867,16879,50,DQ071615.1
379,chr1,17057,17087,50,DQ071615.1
380,chr1,17155,17186,50,DQ071615.1
381,chr1,17373,17396,50,DQ071615.1
382,chr1,18024,18042,50,DQ071615.1
383,chr1,18179,18197,50,DQ071615.1
384,chr1,18203,18225,50,DQ071615.1
385,chr1,18513,18532,50,DQ071615.1
386,chr1,18753,18775,50,DQ071615.1
387,chr1,18821,18837,50,DQ071615.1
388,chr1,18972,18992,50,DQ071615.1
389,chr1,20409,20423,50,DQ071615.1
390,chr1,21871,21892,50,DQ071615.1
391,chr1,22499,22521,50,DQ071615.1
392,chr1,22633,22653,50,DQ071615.1
393,chr1,22864,22876,50,DQ071615.1
394,chr1,22951,22970,50,DQ071615.1
395,chr1,23118,23140,50,DQ071615.1
396,chr1,23995,24015,50,DQ071615.1
397,chr1,25118,25141,50,DQ071615.1
398,chr1,26026,26044,50,DQ071615.1
399,chr1,26177,26200,50,DQ071615.1
400,chr1,26652,26673,50,DQ071615.1
401,chr1,26898,26914,50,DQ071615.1
402,chr1,28212,28224,50,DQ071615.1
403,chr1,28545,28563,50,DQ071615.1
404,chr1,28761,28773,50,DQ071615.1
405,chr1,29579,29597,50,DQ071615.1
406,chr1,107,123,150,DQ071615.1
407,chr1,586,602,150,DQ071615.1
408,chr1,873,896,150,DQ071615.1
409,chr1,1908,1922,150,DQ071615.1
410,chr1,2421,2433,150,DQ071615.1
411,chr1,3680,3697,150,DQ071615.1
412,chr1,3698,3712,150,DQ071615.1
413,chr1,4565,4587,150,DQ071615.1
414,chr1,10481,10501,150,DQ071615.1
415,chr1,11077,11097,150,DQ071615.1
416,chr1,12334,12354,150,DQ071615.1
417,chr1,13079,13095,150,DQ071615.1
418,chr1,13878,13892,150,DQ071615.1
419,chr1,13898,13914,150,DQ071615.1
420,chr1,14497,14513,150,DQ071615.1
421,chr1,15330,15352,150,DQ071615.1
422,chr1,17155,17185,150,DQ071615.1
423,chr1,17375,17395,150,DQ071615.1
424,chr1,18205,18221,150,DQ071615.1
425,chr1,18755,18774,150,DQ071615.1
426,chr1,21872,21891,150,DQ071615.1
427,chr1,22501,22519,150,DQ071615.1
428,chr1,22864,22876,150,DQ071615.1
429,chr1,23118,23140,150,DQ071615.1
430,chr1,25118,25138,150,DQ071615.1
431,chr1,26180,26200,150,DQ071615.1
432,chr1,26655,26669,150,DQ071615.1
433,chr1,26902,26914,150,DQ071615.1
434,chr1,590,602,300,DQ071615.1
435,chr1,873,895,300,DQ071615.1
436,chr1,10485,10501,300,DQ071615.1
437,chr1,11079,11097,300,DQ071615.1
438,chr1,12338,12354,300,DQ071615.1
439,chr1,13079,13095,300,DQ071615.1
440,chr1,13898,13914,300,DQ071615.1
441,chr1,15334,15352,300,DQ071615.1
442,chr1,17157,17185,300,DQ071615.1
443,chr1,17375,17395,300,DQ071615.1
444,chr1,18755,18773,300,DQ071615.1
445,chr1,21872,21891,300,DQ071615.1
446,chr1,22503,22519,300,DQ071615.1
447,chr1,23122,23136,300,DQ071615.1
448,chr1,25122,25136,300,DQ071615.1
449,chr1,26180,26200,300,DQ071615.1
450,chr1,105,123,50,DQ022305.2
451,chr1,233,249,50,DQ022305.2
452,chr1,291,307,50,DQ022305.2
453,chr1,334,350,50,DQ022305.2
454,chr1,380,397,50,DQ022305.2
455,chr1,581,601,50,DQ022305.2
456,chr1,870,903,50,DQ022305.2
457,chr1,1147,1167,50,DQ022305.2
458,chr1,1249,1266,50,DQ022305.2
459,chr1,1627,1639,50,DQ022305.2
460,chr1,2708,2724,50,DQ022305.2
461,chr1,2794,2817,50,DQ022305.2
462,chr1,2869,2889,50,DQ022305.2
463,chr1,3009,3029,50,DQ022305.2
464,chr1,3680,3700,50,DQ022305.2
465,chr1,4547,4577,50,DQ022305.2
466,chr1,4904,4924,50,DQ022305.2
467,chr1,5241,5262,50,DQ022305.2
468,chr1,5274,5293,50,DQ022305.2
469,chr1,5530,5549,50,DQ022305.2
470,chr1,6023,6041,50,DQ022305.2
471,chr1,7417,7437,50,DQ022305.2
472,chr1,7670,7682,50,DQ022305.2
473,chr1,9150,9170,50,DQ022305.2
474,chr1,9369,9391,50,DQ022305.2
475,chr1,10466,10488,50,DQ022305.2
476,chr1,10749,10761,50,DQ022305.2
477,chr1,11285,11306,50,DQ022305.2
478,chr1,11934,11946,50,DQ022305.2
479,chr1,12319,12339,50,DQ022305.2
480,chr1,12435,12453,50,DQ022305.2
481,chr1,13064,13086,50,DQ022305.2
482,chr1,13347,13368,50,DQ022305.2
483,chr1,13410,13429,50,DQ022305.2
484,chr1,13859,13902,50,DQ022305.2
485,chr1,14458,14474,50,DQ022305.2
486,chr1,15315,15337,50,DQ022305.2
487,chr1,15497,15515,50,DQ022305.2
488,chr1,15822,15839,50,DQ022305.2
489,chr1,15859,15873,50,DQ022305.2
490,chr1,16115,16137,50,DQ022305.2
491,chr1,16424,16444,50,DQ022305.2
492,chr1,17142,17170,50,DQ022305.2
493,chr1,17359,17380,50,DQ022305.2
494,chr1,17637,17659,50,DQ022305.2
495,chr1,18009,18027,50,DQ022305.2
496,chr1,18188,18210,50,DQ022305.2
497,chr1,18502,18516,50,DQ022305.2
498,chr1,18578,18596,50,DQ022305.2
499,chr1,18806,18824,50,DQ022305.2
500,chr1,18861,18881,50,DQ022305.2
501,chr1,19803,19821,50,DQ022305.2
502,chr1,19995,20009,50,DQ022305.2
503,chr1,21228,21249,50,DQ022305.2
504,chr1,21856,21876,50,DQ022305.2
505,chr1,22618,22638,50,DQ022305.2
506,chr1,22852,22864,50,DQ022305.2
507,chr1,23288,23300,50,DQ022305.2
508,chr1,23489,23505,50,DQ022305.2
509,chr1,23990,24007,50,DQ022305.2
510,chr1,24040,24055,50,DQ022305.2
511,chr1,24570,24584,50,DQ022305.2
512,chr1,25106,25126,50,DQ022305.2
513,chr1,25239,25261,50,DQ022305.2
514,chr1,26014,26032,50,DQ022305.2
515,chr1,26165,26188,50,DQ022305.2
516,chr1,26640,26661,50,DQ022305.2
517,chr1,26886,26902,50,DQ022305.2
518,chr1,28533,28551,50,DQ022305.2
519,chr1,28749,28761,50,DQ022305.2
520,chr1,29567,29585,50,DQ022305.2
521,chr1,106,122,150,DQ022305.2
522,chr1,583,599,150,DQ022305.2
523,chr1,870,892,150,DQ022305.2
524,chr1,1253,1265,150,DQ022305.2
525,chr1,2796,2815,150,DQ022305.2
526,chr1,3015,3029,150,DQ022305.2
527,chr1,4548,4573,150,DQ022305.2
528,chr1,4908,4924,150,DQ022305.2
529,chr1,5241,5260,150,DQ022305.2
530,chr1,5531,5549,150,DQ022305.2
531,chr1,10466,10486,150,DQ022305.2
532,chr1,11290,11306,150,DQ022305.2
533,chr1,13068,13080,150,DQ022305.2
534,chr1,13411,13427,150,DQ022305.2
535,chr1,13861,13881,150,DQ022305.2
536,chr1,13883,13901,150,DQ022305.2
537,chr1,15321,15335,150,DQ022305.2
538,chr1,16426,16444,150,DQ022305.2
539,chr1,17142,17169,150,DQ022305.2
540,chr1,18190,18206,150,DQ022305.2
541,chr1,21857,21876,150,DQ022305.2
542,chr1,25239,25259,150,DQ022305.2
543,chr1,26168,26188,150,DQ022305.2
544,chr1,26643,26657,150,DQ022305.2
545,chr1,26890,26902,150,DQ022305.2
546,chr1,109,121,300,DQ022305.2
547,chr1,587,599,300,DQ022305.2
548,chr1,870,888,300,DQ022305.2
549,chr1,2796,2814,300,DQ022305.2
550,chr1,4550,4573,300,DQ022305.2
551,chr1,5242,5260,300,DQ022305.2
552,chr1,10470,10486,300,DQ022305.2
553,chr1,13861,13878,300,DQ022305.2
554,chr1,13883,13901,300,DQ022305.2
555,chr1,16428,16444,300,DQ022305.2
556,chr1,17143,17169,300,DQ022305.2
557,chr1,25243,25259,300,DQ022305.2
558,chr1,26168,26188,300,DQ022305.2
559,chr1,107,123,50,DQ412042.1
560,chr1,232,248,50,DQ412042.1
561,chr1,290,306,50,DQ412042.1
562,chr1,384,396,50,DQ412042.1
563,chr1,580,600,50,DQ412042.1
564,chr1,869,891,50,DQ412042.1
565,chr1,1148,1166,50,DQ412042.1
566,chr1,1250,1264,50,DQ412042.1
567,chr1,1326,1342,50,DQ412042.1
568,chr1,1511,1529,50,DQ412042.1
569,chr1,2802,2814,50,DQ412042.1
570,chr1,2868,2888,50,DQ412042.1
571,chr1,3008,3028,50,DQ412042.1
572,chr1,3399,3411,50,DQ412042.1
573,chr1,3520,3536,50,DQ412042.1
574,chr1,3685,3705,50,DQ412042.1
575,chr1,4552,4579,50,DQ412042.1
576,chr1,4688,4707,50,DQ412042.1
577,chr1,4910,4922,50,DQ412042.1
578,chr1,5242,5262,50,DQ412042.1
579,chr1,5302,5323,50,DQ412042.1
580,chr1,5529,5551,50,DQ412042.1
581,chr1,6652,6668,50,DQ412042.1
582,chr1,7391,7411,50,DQ412042.1
583,chr1,7421,7444,50,DQ412042.1
584,chr1,9135,9147,50,DQ412042.1
585,chr1,9371,9392,50,DQ412042.1
586,chr1,10468,10490,50,DQ412042.1
587,chr1,10542,10560,50,DQ412042.1
588,chr1,10751,10763,50,DQ412042.1
589,chr1,11290,11308,50,DQ412042.1
590,chr1,12321,12341,50,DQ412042.1
591,chr1,13062,13086,50,DQ412042.1
592,chr1,13352,13366,50,DQ412042.1
593,chr1,13412,13431,50,DQ412042.1
594,chr1,13858,13881,50,DQ412042.1
595,chr1,13883,13905,50,DQ412042.1
596,chr1,13928,13952,50,DQ412042.1
597,chr1,14482,14500,50,DQ412042.1
598,chr1,14928,14948,50,DQ412042.1
599,chr1,15317,15337,50,DQ412042.1
600,chr1,15344,15364,50,DQ412042.1
601,chr1,15828,15840,50,DQ412042.1
602,chr1,15861,15875,50,DQ412042.1
603,chr1,16115,16132,50,DQ412042.1
604,chr1,16148,16168,50,DQ412042.1
605,chr1,16188,16213,50,DQ412042.1
606,chr1,16428,16446,50,DQ412042.1
607,chr1,16850,16866,50,DQ412042.1
608,chr1,17142,17172,50,DQ412042.1
609,chr1,17361,17382,50,DQ412042.1
610,chr1,17418,17432,50,DQ412042.1
611,chr1,17639,17661,50,DQ412042.1
612,chr1,18190,18212,50,DQ412042.1
613,chr1,18427,18446,50,DQ412042.1
614,chr1,18506,18518,50,DQ412042.1
615,chr1,18577,18594,50,DQ412042.1
616,chr1,18808,18824,50,DQ412042.1
617,chr1,18867,18879,50,DQ412042.1
618,chr1,19211,19231,50,DQ412042.1
619,chr1,19589,19608,50,DQ412042.1
620,chr1,21858,21878,50,DQ412042.1
621,chr1,21953,21969,50,DQ412042.1
622,chr1,22620,22644,50,DQ412042.1
623,chr1,22851,22865,50,DQ412042.1
624,chr1,23853,23872,50,DQ412042.1
625,chr1,24036,24054,50,DQ412042.1
626,chr1,25107,25125,50,DQ412042.1
627,chr1,26012,26030,50,DQ412042.1
628,chr1,26163,26186,50,DQ412042.1
629,chr1,26226,26246,50,DQ412042.1
630,chr1,26635,26651,50,DQ412042.1
631,chr1,26880,26896,50,DQ412042.1
632,chr1,27751,27767,50,DQ412042.1
633,chr1,27936,27954,50,DQ412042.1
634,chr1,28184,28196,50,DQ412042.1
635,chr1,28517,28535,50,DQ412042.1
636,chr1,28733,28745,50,DQ412042.1
637,chr1,29551,29569,50,DQ412042.1
638,chr1,582,598,150,DQ412042.1
639,chr1,871,891,150,DQ412042.1
640,chr1,1148,1166,150,DQ412042.1
641,chr1,3014,3028,150,DQ412042.1
642,chr1,4695,4707,150,DQ412042.1
643,chr1,5244,5262,150,DQ412042.1
644,chr1,5533,5547,150,DQ412042.1
